index,balance a2c,balance ppo,balance ddpg
20180327,1432836.58,1424104.75,1498557.625
20180328,1430317.745,1421749.495,1495640.197
20180329,1431814.472,1421872.354,1496196.008
20180402,1431743.771,1420906.251,1495375.919
20180403,1414694.396,1415184.639,1479001.41
20180405,1402404.057,1407993.476,1461450.975
20180406,1422051.211,1421989.781,1488744.911
20180409,1408688.434,1414416.284,1471738.151
20180410,1406333.343,1416313.725,1476026.807
20180411,1415050.912,1417742.946,1490330.49
20180412,1398129.276,1405822.223,1452188.695
20180413,1410164.129,1416403.822,1470182.219
20180416,1419055.565,1426175.368,1489843.582
20180417,1428717.745,1409650.141,1491482.609
20180418,1403184.972,1412817.252,1465579.096
20180419,1408428.742,1415729.831,1469229.807
20180420,1427745.697,1429253.065,1495093.141
20180423,1418592.245,1423132.583,1482137.28
20180424,1435694.166,1432368.495,1503470.029
20180425,1425577.739,1427590.498,1491977.905
20180426,1434597.718,1434825.033,1504610.94
20180427,1444825.548,1434681.464,1510252.19
20180430,1434856.461,1436851.546,1514831.364
20180501,1427764.443,1431660.195,1507792.748
20180502,1426533.25,1430504.25,1506285
20180503,1426533.25,1430504.25,1506285
20180504,1426533.25,1430504.25,1506285
20180507,1426533.25,1430504.25,1506285
20180508,1426533.25,1430504.25,1506285
20180509,1426533.25,1430504.25,1506285
20180510,1426533.25,1430504.25,1506285
20180511,1426533.25,1430504.25,1506285
20180514,1426533.25,1430504.25,1506285
20180515,1426533.25,1430504.25,1506285
20180516,1426533.25,1430504.25,1506285
20180517,1426533.25,1430504.25,1506285
20180518,1426533.25,1430504.25,1506285
20180521,1426533.25,1430504.25,1506285
20180522,1426533.25,1430504.25,1506285
20180523,1426533.25,1430504.25,1506285
20180524,1426533.25,1430504.25,1506285
20180525,1426533.25,1430504.25,1506285
20180529,1426484.587,1430587.298,1506881.33
20180530,1426360.125,1430499.25,1506665
20180531,1426230.887,1430412.775,1506473.829
20180601,1427861.187,1433453.502,1512620.613
20180604,1425393.857,1430440.853,1505041.329
20180605,1425931.543,1432261.561,1507882.496
20180606,1425076.88,1430633.513,1503634.176
20180607,1424770.707,1429687.147,1499907.755
20180608,1416540.759,1423185.41,1475502.434
20180611,1422653.171,1428649.444,1496692.714
20180612,1415759.101,1423352.317,1477618.142
20180613,1420403.684,1428912.908,1495356.988
20180614,1426324.891,1434342.382,1505773.636
20180615,1424542.381,1434670.03,1505240.991
20180618,1434891.394,1443408.771,1533917.457
20180619,1437334.361,1450103.042,1537344.81
20180620,1440230.633,1452500.768,1539664.472
20180621,1442237.139,1451554.28,1538067.676
20180622,1440707.043,1451472.724,1537592.692
20180625,1435082.836,1445081.991,1525572.9
20180626,1431806.919,1443468.161,1520317.403
20180627,1425352.428,1440457.461,1513709.312
20180628,1418412.567,1438091.226,1504536.931
20180629,1397832.179,1428581.671,1478896.291
20180702,1398268.397,1427581.764,1478914.907
20180705,1385917.051,1424317.989,1463113.466
20180706,1390530.449,1425275.626,1472867.402
20180709,1366893.22,1409778.83,1452555.917
20180710,1368410.664,1413066.009,1453350.686
20180711,1363033.241,1407799.575,1442571.645
20180712,1374891.643,1417583.325,1448323.039
20180713,1374477.971,1415231.693,1454996.387
20180716,1373103.5,1413889.25,1453541.375
20180717,1373103.5,1413889.25,1453541.375
20180718,1427512.545,1432201.349,1498470.219
20180719,1373463.336,1414240.909,1454012.873
20180720,1378050.203,1417712.108,1458343.392
20180723,1381712.91,1419922.914,1460715.767
20180724,1376178.353,1414402.398,1456740.595
20180725,1380655.823,1419232.517,1462230.895
