index,balance 1,balance 2,balance 3
20170908,1412386.726,1349930.998,1333744.772
20170911,1414689.335,1351821.499,1335637.427
20170912,1416762.163,1354089.289,1337848.496
20170913,1421483.175,1359145.735,1342762.244
20170914,1429150.78,1366432.418,1350051.037
20170915,1435309.933,1372279.762,1355989.77
20170918,1440016.991,1376726.35,1360393.392
20170919,1445858.741,1382549.677,1366155.83
20170920,1441951.03,1378913.416,1362527.58
20170921,1442957.8,1379927.748,1363463.162
20170922,1431918.507,1369279.338,1352805.337
20170925,1435672.492,1373206.65,1356590.822
20170926,1439583.825,1376766.425,1360268.401
20170927,1438876.105,1376118.753,1359592.22
20170928,1444873.059,1382022.75,1365343.987
20170929,1354193.073,1281104.29,1366879
20171003,1452345.908,1388925.521,1372241.924
20171004,1459857.056,1396488.378,1379509.381
20171005,1460241.227,1397185.594,1379412.513
20171006,1462582.171,1399309.879,1381728.208
20171009,1471276.402,1408401.669,1390275.551
20171010,1474551.547,1412175.768,1392837.804
20171011,1479350.937,1417699.369,1398345.187
20171012,1481327.116,1420363.005,1399656.734
20171013,1485444.029,1423631.726,1403004.954
20171016,1483377.952,1422531.131,1401827.325
20171017,1489640.888,1431579.9,1408516.763
20171018,1493899.168,1436555.148,1411724.285
20171019,1502066.019,1445873.364,1422199.002
20171020,1500802.641,1442786.263,1419278.49
20171023,1515988.673,1455602.216,1431178.55
20171024,1502391.231,1444540.07,1423064.874
20171025,1505510.091,1446067.728,1421113.889
20171026,1509939.262,1450435.452,1421967.633
20171027,1507507.249,1448980.621,1416883.706
20171030,1505981.489,1445854.397,1415743.346
20171031,1511795.387,1450173.101,1420049.237
20171101,1517787.747,1456410.826,1425946.162
20171102,1515024.405,1453484.698,1425042.42
20171103,1517771.147,1453365.83,1425142.212
20171106,1525469.824,1459440.756,1430033.321
20171107,1523998.499,1457035.576,1431065.777
20171108,1516798.094,1448224.186,1424525.801
20171109,1517981.461,1447919.578,1423017.859
20171110,1517127.548,1446132.696,1421020.329
20171113,1520000.965,1450503.244,1423491.397
20171114,1507851.688,1438074.697,1415322.085
20171115,1512346.939,1443367.643,1418183.801
20171116,1505283.385,1436404.628,1413588.871
20171117,1509368.636,1439864.039,1416099.806
20171120,1519836.818,1449518.132,1425432.039
20171121,1516180.982,1447745.976,1420015.505
20171122,1515314.507,1447026.203,1419634.682
20171124,1515225.051,1448047.266,1422933.853
20171127,1533960.207,1464884.142,1440819.251
20171128,1535806.059,1467400.386,1447961.486
20171129,1561097.499,1491710.317,1470070.892
20171130,1554300.986,1485146.187,1465643.266
20171201,1559778.649,1492472.328,1467452.735
20171204,1549602.359,1482623.634,1459112.883
20171205,1553935.234,1486068.62,1458984.704
20171206,1557674.529,1492242.539,1461810.773
20171207,1565926.356,1503845.78,1468506.543
20171208,1568338.688,1504897.407,1473996.922
